Date,Inflow,Outflow
2020-05-15,13731,9683
2020-05-16,13891,9807
2020-05-17,14441,11588
2020-05-18,15645,12780
2020-05-19,16611,13120
2020-05-20,17634,14169
2020-05-21,18395,14865
2020-05-22,17723,13427
2020-05-23,16309,11970
2020-05-24,15059,10621
2020-05-25,13820,9347
2020-05-26,12784,8337
2020-05-27,11976,7486
2020-05-28,11621,7073
2020-05-29,11893,7306
2020-05-30,12859,8432
2020-05-31,13550,9062
2020-06-01,14155,9650
2020-06-02,14645,10063
2020-06-03,14815,9278
2020-06-04,14371,7765
2020-06-05,13747,7339
2020-06-06,13978,6444
2020-06-07,14121,7299
2020-06-08,13810,6924
2020-06-09,13446,6656
2020-06-10,13497,6749
2020-06-11,13567,6802
2020-06-12,13497,6723
2020-06-13,13911,7042
2020-06-14,14105,7172
2020-06-15,14165,7009
2020-06-16,14866,7676
2020-06-17,15185,7096
2020-06-18,15062,6382
2020-06-19,14794,6569
2020-06-20,14708,6627
2020-06-21,14600,6451
2020-06-22,14177,6430
2020-06-23,14128,6556
2020-06-24,14385,6847
2020-06-25,14319,6558
2020-06-26,14099,6441
2020-06-27,13734,6449
2020-06-28,14092,6962
2020-06-29,14315,7318
2020-06-30,13874,5971
2020-07-01,13610,4118
2020-07-02,13947,5143
2020-07-03,14551,5672
2020-07-04,14437,4561
2020-07-05,14282,4350
2020-07-06,14421,5610
2020-07-07,14822,5882
2020-07-08,14896,4690
2020-07-09,14888,4583
2020-07-10,14995,4583
2020-07-11,15050,4613
2020-07-12,15103,4662
2020-07-13,15278,4759
2020-07-14,15472,4669
2020-07-15,15630,4534
2020-07-16,15927,4862
2020-07-17,16102,4627
2020-07-18,16240,4053
2020-07-19,16455,3991
2020-07-20,16838,4412
2020-07-21,16772,4126
2020-07-22,16594,3663
2020-07-23,16454,4426
2020-07-24,16154,3811
2020-07-25,15387,4298
2020-07-26,14695,3588
2020-07-27,14049,4800
2020-07-28,13718,4980
2020-07-29,13641,4919
2020-07-30,13705,4056
2020-07-31,13421,3284
2020-08-01,13309,2974
2020-08-02,13468,3189
2020-08-03,13428,3934
2020-08-04,13221,4160
2020-08-05,13223,3120
2020-08-06,13231,2994
2020-08-07,13125,3044
2020-08-08,13141,2917
2020-08-09,13210,3246
2020-08-10,12953,2991
2020-08-11,12686,2799
2020-08-12,12670,2731
2020-08-13,12889,3316
2020-08-14,13120,3428
2020-08-15,13211,3217
2020-08-16,13353,3434
2020-08-17,13884,3753
2020-08-18,13975,3631
2020-08-19,14413,3518
2020-08-20,15525,4278
2020-08-21,16617,4642
2020-08-22,17152,3618
2020-08-23,17213,3740
2020-08-24,16885,3458
2020-08-25,16572,3181
2020-08-26,16120,2722
2020-08-27,15938,3164
2020-08-28,15453,3541
2020-08-29,15231,3591
2020-08-30,14996,3704
2020-08-31,14501,3229
2020-09-01,14085,4156
2020-09-02,14016,5633
2020-09-03,13799,4572
2020-09-04,13667,4695
2020-09-05,13499,6243
2020-09-06,13397,6211
2020-09-07,13261,6947
2020-09-08,13070,6745
2020-09-09,13126,5092
2020-09-10,13203,5266
2020-09-11,12977,4844
2020-09-12,12894,4721
2020-09-13,13025,4857
2020-09-14,13223,5140
2020-09-15,13127,4538
2020-09-16,12730,3658
2020-09-17,12139,3127
2020-09-18,12071,3253
2020-09-19,12271,3483
2020-09-20,12016,3269
2020-09-21,11527,3931
2020-09-22,11235,4558
2020-09-23,11043,2657
2020-09-24,10826,2480
2020-09-25,11125,2819
2020-09-26,11442,3154
2020-09-27,11461,3507
2020-09-28,11453,3504
2020-09-29,11193,2559
2020-09-30,11310,2529
2020-10-01,11276,4271
2020-10-02,11094,3529
2020-10-03,10899,3592
2020-10-04,10778,3482
2020-10-05,10681,3488
2020-10-06,10364,3591
2020-10-07,10203,4333
2020-10-08,10203,3858
2020-10-09,9979,4113
2020-10-10,9888,4213
2020-10-11,10114,4263
2020-10-12,9758,3939
2020-10-13,9712,3509
2020-10-14,9888,4139
2020-10-15,9744,3999
2020-10-16,9600,3841
2020-10-17,9826,4096
2020-10-18,10410,4721
2020-10-19,10482,4713
2020-10-20,10042,4311
2020-10-21,9471,4458
2020-10-22,9232,4227
2020-10-23,9099,4153
2020-10-24,9279,4319
2020-10-25,10521,5579
2020-10-26,10572,6439
2020-10-27,9494,4720
2020-10-28,9134,4355
2020-10-29,9451,5009
2020-10-30,9772,5521
2020-10-31,10078,5298
2020-11-01,10274,5924
2020-11-02,9555,5747
2020-11-03,9288,5501
2020-11-04,9275,5519
2020-11-05,9099,4854
2020-11-06,9082,4890
2020-11-07,9378,5121
2020-11-08,9622,6234
2020-11-09,9461,6115
2020-11-10,8918,5605
2020-11-11,9049,4711
2020-11-12,9147,4824
2020-11-13,9267,4345
2020-11-14,9454,5023
2020-11-15,9482,5001
2020-11-16,9417,4949
2020-11-17,9412,5128
2020-11-18,10356,5351
2020-11-19,10946,5947
2020-11-20,10814,5767
2020-11-21,10703,5658
2020-11-22,10617,4398
2020-11-23,10452,4604
2020-11-24,10326,4457
2020-11-25,10730,4787
2020-11-26,10869,4945
2020-11-27,10393,4420
2020-11-28,10329,4296
2020-11-29,10133,4089
2020-11-30,9978,3864
2020-12-01,9771,4116
2020-12-02,9741,4588
2020-12-03,9744,4591
2020-12-04,9611,4734
2020-12-05,9516,4810
2020-12-06,9553,5045
2020-12-07,9429,5198
2020-12-08,9024,5073
2020-12-09,9025,5094
2020-12-10,8973,4994
2020-12-11,9102,6986
2020-12-12,9277,7607
2020-12-13,9540,12922
2020-12-14,10334,13732
2020-12-15,10711,14119
2020-12-16,10621,12196
2020-12-17,10870,13584
2020-12-18,11429,8951
2020-12-19,11552,9102
2020-12-20,11294,8829
2020-12-21,11029,8328
2020-12-22,10884,6065
2020-12-23,10684,4918
2020-12-24,10135,3883
2020-12-25,9578,3393
2020-12-26,9646,3231
2020-12-27,9753,3892
2020-12-28,9908,4045
2020-12-29,10250,5418
2020-12-30,10095,6033
2020-12-31,10026,6259
2021-01-01,9853,6183
2021-01-02,9672,6056
2021-01-03,9385,5830
2021-01-04,9325,5540
2021-01-05,9916,5970
2021-01-06,10007,5624
2021-01-07,10304,5729
2021-01-08,10586,5244
2021-01-09,10503,4750
2021-01-10,10189,5173
2021-01-11,10009,5004
2021-01-12,10016,6354
2021-01-13,10114,6451
2021-01-14,10025,6389
2021-01-15,9669,6046
2021-01-16,9599,6021
2021-01-17,9908,6340
2021-01-18,10306,6784
2021-01-19,9880,6356
2021-01-20,9042,4690
2021-01-21,8816,4495
2021-01-22,8825,5185
2021-01-23,8945,5364
2021-01-24,8749,5866
2021-01-25,9216,6354
2021-01-26,8970,6322
2021-01-27,10240,14066
2021-01-28,13881,25043
2021-01-29,16762,27475
2021-01-30,18460,29186
2021-01-31,19654,30212
2021-02-01,18540,22092
2021-02-02,17017,14949
2021-02-03,16081,13310
2021-02-04,16418,13418
2021-02-05,17308,14317
2021-02-06,16591,13594
2021-02-07,14622,9773
2021-02-08,13191,8350
2021-02-09,12695,6179
2021-02-10,12533,7750
2021-02-11,12633,10025
2021-02-12,13221,10315
2021-02-13,13297,10400
2021-02-14,13940,11020
2021-02-15,14773,11886
2021-02-16,15496,8605
2021-02-17,15383,8828
2021-02-18,14967,8026
2021-02-19,14205,7226
2021-02-20,13430,6484
2021-02-21,12988,6210
2021-02-22,12229,6690
2021-02-23,11925,7222
2021-02-24,11765,7006
2021-02-25,10948,6703
2021-02-26,10561,6477
2021-02-27,10447,7276
2021-02-28,9837,7057
2021-03-01,9397,6454
2021-03-02,9275,7016
2021-03-03,8977,6713
2021-03-04,9116,7298
2021-03-05,8831,6971
2021-03-06,8992,7569
2021-03-07,9275,7691
2021-03-08,9224,7046
2021-03-09,9325,8196
2021-03-10,9670,9439
2021-03-11,11129,10377
2021-03-12,12137,11960
2021-03-13,12311,12108
2021-03-14,12044,10889
2021-03-15,11518,8418
2021-03-16,11258,6989
2021-03-17,11424,7212
2021-03-18,12319,10041
2021-03-19,12870,11626
2021-03-20,13149,12607
2021-03-21,13723,13140
2021-03-22,14056,13411
2021-03-23,13468,10931
2021-03-24,11876,9087
2021-03-25,11114,8340
2021-03-26,10909,8103
2021-03-27,10449,7671
2021-03-28,10175,7350
2021-03-29,10239,7389
2021-03-30,10083,7223
2021-03-31,9646,7112
2021-04-01,9548,7205
2021-04-02,9520,7214
2021-04-03,9771,7459
2021-04-04,10150,7768
2021-04-05,10241,7370
2021-04-06,10405,7584
2021-04-07,10360,7357
2021-04-08,10562,7487
2021-04-09,10383,6972
2021-04-10,10427,7293
2021-04-11,10502,7353
2021-04-12,10560,7247
2021-04-13,10638,7108
2021-04-14,10652,7338
2021-04-15,10421,7078
2021-04-16,10442,6952
2021-04-17,10949,7697
2021-04-18,10211,6931
2021-04-19,9584,6299
2021-04-20,9554,6272
2021-04-21,9498,6228
2021-04-22,8834,5599
2021-04-23,8707,5432
2021-04-24,8610,5262
2021-04-25,8269,5410
2021-04-26,8214,5348
2021-04-27,8292,5452
2021-04-28,8334,5438
2021-04-29,7766,4841
2021-04-30,7171,3776
2021-05-01,7056,3645
2021-05-02,7727,4315
2021-05-03,7647,4205
2021-05-04,7108,3663
2021-05-05,6712,3263
2021-05-06,6429,2986
2021-05-07,7088,3514
2021-05-08,7635,4071
2021-05-09,8044,4492
2021-05-10,8922,5397
2021-05-11,8837,5265
2021-05-12,8698,5120
2021-05-13,8946,5378
2021-05-14,9082,5467
2021-05-15,9186,5839
2021-05-16,9139,5715
2021-05-17,9435,5700
2021-05-18,9257,5544
2021-05-19,9316,5557
2021-05-20,9987,6160
2021-05-21,9625,5783
2021-05-22,9376,5455
2021-05-23,9558,5583
2021-05-24,9530,5524
2021-05-25,9363,5336
2021-05-26,9046,5011
2021-05-27,8766,4683
2021-05-28,8423,4252
2021-05-29,8041,3805
2021-05-30,7753,3471
2021-05-31,7338,3006
2021-06-01,6908,2548
2021-06-02,6969,2600
